tcpdump: data link type LINUX_SLL2
tcpdump: listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
01:08:00.414292 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:08:01.453847 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:08:06.597323 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.26 tell 10.1.1.1, length 46
01:08:06.597347 eth0  Out ifindex 2 bc:24:11:40:d0:44 ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.1.1.26 is-at bc:24:11:40:d0:44, length 28
01:08:06.638192 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.2 tell 10.1.1.1, length 46
01:08:06.697626 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.80 tell 10.1.1.1, length 46
01:08:07.598426 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.26 tell 10.1.1.1, length 46
01:08:07.598484 eth0  Out ifindex 2 bc:24:11:40:d0:44 ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.1.1.26 is-at bc:24:11:40:d0:44, length 28
01:08:07.638404 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.2 tell 10.1.1.1, length 46
01:08:07.697807 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.80 tell 10.1.1.1, length 46
01:08:14.369563 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:08:15.373833 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:08:16.413749 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:08:16.817730 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.247 tell 10.1.1.1, length 46
01:08:17.818860 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.247 tell 10.1.1.1, length 46

84 packets captured
94 packets received by filter
0 packets dropped by kernel
